rider_id,rider_name,phone,average_rating,total_deliveries
1,Rider_1,9717881457,4.1,250
2,Rider_2,9729732897,4.3,442
3,Rider_3,9739826151,3.1,729
4,Rider_4,9787358541,3.1,267
5,Rider_5,9769472905,4.1,576
6,Rider_6,9743061425,4.6,352
7,Rider_7,9737694943,5.0,659
8,Rider_8,9794361879,4.5,615
9,Rider_9,9765006009,3.5,899
10,Rider_10,9774126382,3.0,65
11,Rider_11,9724213552,3.1,277
12,Rider_12,9763663005,3.5,273
13,Rider_13,9726032402,4.1,796
14,Rider_14,9713343206,4.0,595
15,Rider_15,9774918569,4.8,280
16,Rider_16,9788306297,4.0,759
17,Rider_17,9755718576,4.7,341
18,Rider_18,9754271743,4.0,141
19,Rider_19,9765055540,4.1,524
20,Rider_20,9798263324,4.0,439
21,Rider_21,9797232436,4.7,531
22,Rider_22,9798953084,3.2,964
23,Rider_23,9735809419,3.5,599
24,Rider_24,9733771739,4.4,300
25,Rider_25,9781803173,4.5,329
26,Rider_26,9732910409,3.1,891
27,Rider_27,9794460038,5.0,248
28,Rider_28,9719496101,4.5,130
29,Rider_29,9744800558,3.4,858
30,Rider_30,9724001822,3.0,453
31,Rider_31,9714859028,4.9,160
32,Rider_32,9766725274,3.2,568
33,Rider_33,9742197285,4.8,777
34,Rider_34,9777547717,4.9,566
35,Rider_35,9775696094,3.3,861
36,Rider_36,9765608708,3.1,158
37,Rider_37,9728038207,4.5,134
38,Rider_38,9753421417,3.4,921
39,Rider_39,9740849549,3.9,393
40,Rider_40,9798504256,4.5,615
41,Rider_41,9765597343,4.0,817
42,Rider_42,9753933176,3.2,227
43,Rider_43,9732418174,3.6,815
44,Rider_44,9753429745,4.8,910
45,Rider_45,9726369833,4.1,124
46,Rider_46,9753092811,4.9,598
47,Rider_47,9768777002,4.9,393
48,Rider_48,9769439921,3.7,843
49,Rider_49,9721811137,3.3,727
50,Rider_50,9756403681,3.7,342
